method,data_name,model_name,Remove Col Names,Order Cols,Recall,F1 Score
Zero-Shot,fodors-zagats,all-mpnet-base-v2,True,True,1.0,0.5945945945945946
Zero-Shot,fodors-zagats,all-mpnet-base-v2,False,True,1.0,0.36065573770491804
Zero-Shot,fodors-zagats,all-mpnet-base-v2,True,False,1.0,0.5789473684210527
Zero-Shot,fodors-zagats,all-mpnet-base-v2,False,False,1.0,0.34375
Zero-Shot,fodors-zagats,sentence-transformers/multi-qa-mpnet-base-dot-v1,True,True,1.0,0.4583333333333333
Zero-Shot,fodors-zagats,sentence-transformers/multi-qa-mpnet-base-dot-v1,False,True,1.0,0.29333333333333333
Zero-Shot,fodors-zagats,sentence-transformers/multi-qa-mpnet-base-dot-v1,True,False,1.0,0.46808510638297873
Zero-Shot,fodors-zagats,sentence-transformers/multi-qa-mpnet-base-dot-v1,False,False,1.0,0.29333333333333333
Zero-Shot,amazon-google,all-mpnet-base-v2,True,True,0.7890625,0.6029850746268657
Zero-Shot,amazon-google,all-mpnet-base-v2,False,True,0.84375,0.6486486486486487
Zero-Shot,amazon-google,all-mpnet-base-v2,True,False,0.8203125,0.6441717791411042
Zero-Shot,amazon-google,all-mpnet-base-v2,False,False,0.828125,0.6523076923076923
Zero-Shot,amazon-google,sentence-transformers/multi-qa-mpnet-base-dot-v1,True,True,0.8984375,0.5168539325842697
Zero-Shot,amazon-google,sentence-transformers/multi-qa-mpnet-base-dot-v1,False,True,0.953125,0.4460694698354662
Zero-Shot,amazon-google,sentence-transformers/multi-qa-mpnet-base-dot-v1,True,False,0.8125,0.5502645502645502
Zero-Shot,amazon-google,sentence-transformers/multi-qa-mpnet-base-dot-v1,False,False,0.9453125,0.5226781857451404
Zero-Shot,abt-buy,all-mpnet-base-v2,True,True,0.9174311926605505,0.43103448275862066
Zero-Shot,abt-buy,all-mpnet-base-v2,False,True,0.9541284403669725,0.3674911660777385
Zero-Shot,abt-buy,all-mpnet-base-v2,True,False,0.9357798165137615,0.41379310344827586
Zero-Shot,abt-buy,all-mpnet-base-v2,False,False,0.963302752293578,0.3620689655172414
Zero-Shot,abt-buy,sentence-transformers/multi-qa-mpnet-base-dot-v1,True,True,0.963302752293578,0.39106145251396646
Zero-Shot,abt-buy,sentence-transformers/multi-qa-mpnet-base-dot-v1,False,True,0.9724770642201835,0.3419354838709677
Zero-Shot,abt-buy,sentence-transformers/multi-qa-mpnet-base-dot-v1,True,False,0.963302752293578,0.3736654804270463
Zero-Shot,abt-buy,sentence-transformers/multi-qa-mpnet-base-dot-v1,False,False,0.9724770642201835,0.334913112164297
Cross-Encoder,fodors-zagats,cross-encoder/stsb-roberta-base,True,True,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-roberta-base,False,True,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-roberta-base,True,False,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-roberta-base,False,False,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-distilroberta-base,True,True,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-distilroberta-base,False,True,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-distilroberta-base,True,False,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/stsb-distilroberta-base,False,False,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/ms-marco-MiniLM-L-12-v2,True,True,1.0,0.9565217391304348
Cross-Encoder,fodors-zagats,cross-encoder/ms-marco-MiniLM-L-12-v2,False,True,1.0,1.0
Cross-Encoder,fodors-zagats,cross-encoder/ms-marco-MiniLM-L-12-v2,True,False,1.0,0.9565217391304348
Cross-Encoder,fodors-zagats,cross-encoder/ms-marco-MiniLM-L-12-v2,False,False,1.0,0.8148148148148148
Cross-Encoder,amazon-google,cross-encoder/stsb-roberta-base,True,True,0.90625,0.8957528957528957
Cross-Encoder,amazon-google,cross-encoder/stsb-roberta-base,False,True,0.90625,0.8888888888888888
Cross-Encoder,amazon-google,cross-encoder/stsb-roberta-base,True,False,0.9140625,0.9034749034749034
Cross-Encoder,amazon-google,cross-encoder/stsb-roberta-base,False,False,0.8984375,0.8712121212121212
Cross-Encoder,amazon-google,cross-encoder/stsb-distilroberta-base,True,True,0.890625,0.8444444444444444
Cross-Encoder,amazon-google,cross-encoder/stsb-distilroberta-base,False,True,0.8515625,0.8482490272373541
Cross-Encoder,amazon-google,cross-encoder/stsb-distilroberta-base,True,False,0.875,0.8484848484848485
Cross-Encoder,amazon-google,cross-encoder/stsb-distilroberta-base,False,False,0.8359375,0.84251968503937
Cross-Encoder,amazon-google,cross-encoder/ms-marco-MiniLM-L-12-v2,True,True,0.84375,0.8181818181818182
Cross-Encoder,amazon-google,cross-encoder/ms-marco-MiniLM-L-12-v2,False,True,0.8984375,0.8487084870848709
Cross-Encoder,amazon-google,cross-encoder/ms-marco-MiniLM-L-12-v2,True,False,0.828125,0.828125
Cross-Encoder,amazon-google,cross-encoder/ms-marco-MiniLM-L-12-v2,False,False,0.8671875,0.8409090909090909
Cross-Encoder,abt-buy,cross-encoder/stsb-roberta-base,True,True,0.9174311926605505,0.9389671361502347
Cross-Encoder,abt-buy,cross-encoder/stsb-roberta-base,False,True,0.926605504587156,0.9395348837209302
Cross-Encoder,abt-buy,cross-encoder/stsb-roberta-base,True,False,0.9174311926605505,0.9389671361502347
Cross-Encoder,abt-buy,cross-encoder/stsb-roberta-base,False,False,0.9357798165137615,0.9488372093023256
Cross-Encoder,abt-buy,cross-encoder/stsb-distilroberta-base,True,True,0.8990825688073395,0.9245283018867925
Cross-Encoder,abt-buy,cross-encoder/stsb-distilroberta-base,False,True,0.908256880733945,0.9209302325581395
Cross-Encoder,abt-buy,cross-encoder/stsb-distilroberta-base,True,False,0.9174311926605505,0.9302325581395349
Cross-Encoder,abt-buy,cross-encoder/stsb-distilroberta-base,False,False,0.8990825688073395,0.92018779342723
Cross-Encoder,abt-buy,cross-encoder/ms-marco-MiniLM-L-12-v2,True,True,0.8807339449541285,0.9014084507042254
Cross-Encoder,abt-buy,cross-encoder/ms-marco-MiniLM-L-12-v2,False,True,0.8440366972477065,0.8720379146919431
Cross-Encoder,abt-buy,cross-encoder/ms-marco-MiniLM-L-12-v2,True,False,0.8348623853211009,0.8666666666666667
Cross-Encoder,abt-buy,cross-encoder/ms-marco-MiniLM-L-12-v2,False,False,0.8807339449541285,0.8767123287671232
SBERTs,fodors-zagats,roberta-base,True,True,1.0,1.0
SBERTs,fodors-zagats,roberta-base,False,True,1.0,1.0
SBERTs,fodors-zagats,roberta-base,True,False,1.0,1.0
SBERTs,fodors-zagats,roberta-base,False,False,1.0,1.0
SBERTs,fodors-zagats,distilroberta-base,True,True,1.0,1.0
SBERTs,fodors-zagats,distilroberta-base,False,True,0.0,0.0
SBERTs,fodors-zagats,distilroberta-base,True,False,1.0,1.0
SBERTs,fodors-zagats,distilroberta-base,False,False,1.0,1.0
SBERTs,fodors-zagats,bert-base-uncased,True,True,0.0,0.0
SBERTs,fodors-zagats,bert-base-uncased,False,True,1.0,1.0
SBERTs,fodors-zagats,bert-base-uncased,True,False,1.0,1.0
SBERTs,fodors-zagats,bert-base-uncased,False,False,0.0,0.0
SBERTs,amazon-google,roberta-base,True,True,0.609375,0.7255813953488373
SBERTs,amazon-google,roberta-base,False,True,0.8046875,0.8142292490118577
SBERTs,amazon-google,roberta-base,True,False,0.71875,0.7965367965367965
SBERTs,amazon-google,roberta-base,False,False,0.8203125,0.8235294117647058
SBERTs,amazon-google,distilroberta-base,True,True,0.6875,0.7685589519650655
SBERTs,amazon-google,distilroberta-base,False,True,0.6328125,0.7431192660550459
SBERTs,amazon-google,distilroberta-base,True,False,0.65625,0.7466666666666667
SBERTs,amazon-google,distilroberta-base,False,False,0.703125,0.7531380753138075
SBERTs,amazon-google,bert-base-uncased,True,True,0.7109375,0.774468085106383
SBERTs,amazon-google,bert-base-uncased,False,True,0.7578125,0.7791164658634538
SBERTs,amazon-google,bert-base-uncased,True,False,0.7578125,0.7886178861788617
